         9074922 function calls (8816296 primitive calls) in 29.982 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4724    0.013    0.000    0.037    0.000 contextlib.py:279(helper)
    10595    0.013    0.000    0.013    0.000 event.py:148(is_end)
     1610    0.013    0.000    0.021    0.000 functions.py:245(__init__)
 1456/573    0.013    0.000    0.120    0.000 context.py:343(get_meminfos)
4724/4216    0.013    0.000    0.141    0.000 contextlib.py:130(__enter__)
     1237    0.013    0.000    0.039    0.000 analysis.py:66(fix_point_progress)
     1964    0.013    0.000    0.085    0.000 base.py:103(_match_arglist)
     2959    0.013    0.000    0.036    0.000 os.py:675(__getitem__)
     36/5    0.012    0.000    0.565    0.113 ir_utils.py:1060(apply_copy_propagate)
     1042    0.012    0.000    0.012    0.000 {method 'numpy' of 'torch._C.TensorBase' objects}
     2445    0.012    0.000    0.020    0.000 ir.py:1090(__init__)
      537    0.012    0.000    0.012    0.000 {built-in method builtins.sum}
      240    0.012    0.000    0.276    0.001 Gradients.py:157(adjoint)
     2961    0.012    0.000    0.019    0.000 os.py:755(encode)
  630/132    0.012    0.000    0.856    0.006 ir_utils.py:919(copy_propagate)
     1424    0.011    0.000    0.028    0.000 GradientOperator.py:387(ndarray_as_c_pointer)
     2718    0.011    0.000    0.061    0.000 abstract.py:49(_intern)
     1662    0.011    0.000    0.160    0.000 builder.py:967(extract_value)
     9497    0.011    0.000    0.011    0.000 builder.py:195(block)
     6106    0.011    0.000    0.297    0.000 copy.py:264(<genexpr>)
     4238    0.011    0.000    0.038    0.000 controlflow.py:102(add_edge)
     8152    0.011    0.000    0.011    0.000 controlflow.py:117(successors)
     2238    0.011    0.000    0.018    0.000 shape_base.py:443(<listcomp>)
  630/132    0.011    0.000    0.567    0.004 ir_utils.py:956(init_copy_propagate_data)
   143/50    0.011    0.000    0.983    0.020 ir_utils.py:632(remove_dead_block)
   594/62    0.011    0.000    0.633    0.010 parfor.py:4848(get_copies_parfor)
      508    0.011    0.000   13.203    0.026 Gradients.py:300(direct)
      471    0.011    0.000    0.017    0.000 analysis.py:81(def_reach)
     8917    0.011    0.000    0.011    0.000 {method 'pop' of 'dict' objects}
